Decimal,Name,Description,Reference
18,g.3gpp.ti,"This media feature tag when used in a Contact header field as 
        specified in IETF RFC 3840 in SIP INVITE request or SIP response to the 
        SIP INVITE request indicates the capability of associating a CS call 
        with dialog created by the SIP INVITE request.",[3GPP TS 24.237 11.10.0][Frederic_Firmin]
19,g.3gpp.drvcc-alerting,"This media feature-tag when used in a Contact header field of a 
        SIP request or a SIP response indicates that the functional entity sending 
        the SIP message supports the PS to CS dual radio access transfer for calls 
        in alerting phase.",[3GPP TS 24.237 12.8.0][Frederic_Firmin]
20,g.3gpp.dynamic-stn,"This media feature-tag when used in a Contact header field of 
        a SIP request or a SIP response indicates that the functional entity 
        sending the SIP message supports the use of dynamic STN.",[3GPP TS 24.237 12.8.0][Frederic_Firmin]
21,g.3gpp.ps2cs-drvcc-orig-pre-alerting,"This media feature-tag when used in a Contact header field of 
        a SIP request or a SIP response indicates that the functional entity 
        sending the SIP message supports the PS to CS dual radio access transfer 
        for originating calls in pre-alerting phase.",[3GPP TS 24.237 12.8.0][Frederic_Firmin]
22,g.3gpp.ps2cs-srvcc-orig-pre-alerting,"This media feature tag when used in a Contact header field of 
        a SIP request or a SIP response indicates that the functional entity 
        sending the SIP message supports the PS to CS SRVCC for originating 
        calls in pre-alerting phase.",[3GPP TS 24.237 12.8.0][Frederic_Firmin]
23,g.3gpp.cs2ps-drvcc-alerting,"This media feature-tag, when used in a Contact header field 
        of a SIP request or a SIP response, indicates that the functional entity 
        sending the SIP message supports the CS to PS dual radio access transfer 
        for calls in alerting phase.",[3GPP TS 24.237 v12.9.0][Frederic_Firmin]
24,g.3gpp.cs2ps-drvcc-orig-pre-alerting,"This media feature-tag when used in a Contact header field 
        of a SIP request or a SIP response indicates that the functional entity 
        sending the SIP message supports the CS to PS dual radio access transfer 
        for originating calls in pre-alerting phase.",[3GPP TS 24.237 v12.9.0][Frederic_Firmin]
25,g.3gpp.smsip-msisdn-less,"This media feature-tag when used in a Contact header field of 
        a SIP request or a SIP response indicates that the functional entity 
        sending the SIP message supports MSISDN less operation of SMS via SIP 
        MESSAGE request.",[3GPP TS 24.341 v12.6.0][Frederic_Firmin]
26,g.3gpp.nw-init-ussi,"This feature-tag indicates support of user equipment 
        procedures for the network initiated USSD over IMS.",[3GPP TS 24.390 v12.6.0][Frederic_Firmin]
27,g.3gpp.registration-token,"This media feature tag, when included in a third party SIP REGISTER request, 
        indicates the support of using a token to identify the registration used for the request. 
        The mediafeature tag is assigned a value that can be used by the receiving AS to later 
        identify the used registration for initial requests from an originating user or dialog 
        forming responses from a terminating user.",[3GPP TS 24.229 v12.16.0][Frederic_Firmin]
28,g.3gpp.mcptt,"This media feature tag when used in a SIP request or a SIP response 
        indicates that the function sending the SIP message supports Mission Critical 
        Push To Talk (MCPTT) communication.",[3GPP TS 24.379 v13.5.0][Frederic_Firmin]
29,g.3gpp.mcdata.sds,"This media feature tag when used in a SIP request or a SIP response indicates 
        that the function sending the SIP message supports Mission Critical Data (MCData) 
        communications Short Data Service (SDS).",[3GPP TS 24.282 14.3.0][Frederic_Firmin]
30,g.3gpp.mcdata.fd,"This media feature tag when used in a SIP request or a SIP response indicates 
        that the function sending the SIP message supports Mission Critical Data (MCData) communications 
        File Distribution (FD).",[3GPP TS 24.282 14.3.0][Frederic_Firmin]
