Address(es),Description,References,Change Controller,Date Registered,Last Reviewed
224.0.1.55,extended-sys,[David_Poole],,1997-04-01,
224.0.1.56,pdrncs,[Paul_Wissenbach],,1997-06-01,
224.0.1.57,tns-adv-multi,[Jerome_Albin],,1997-06-01,
224.0.1.58,vcals-dmu,[Masato_Shindoh],,1997-08-01,
224.0.1.59,zuba,[Dan_Jackson],,1997-09-01,
224.0.1.60,hp-device-disc,[Shivaun_Albright],,1997-07-01,
224.0.1.61,tms-production,[Asad_Gilani],,1997-07-01,
224.0.1.62,sunscalar,[Terry_Gibson],,1997-08-01,
224.0.1.63,mmtp-poll,[Bryan_Costales],,1997-09-01,
224.0.1.64,compaq-peer,[Victor_Volpe],,1997-10-01,
224.0.1.65,iapp,[Bob_Meier],,1997-12-01,
224.0.1.66,multihasc-com,[Darcy_Brockbank],,1997-12-01,
224.0.1.67,serv-discovery,[Chas_Honton],,1997-12-01,
224.0.1.68,mdhcpdisover,[RFC2730],,,
224.0.1.69,MMP-bundle-discovery1,[Gary_Scott_Malkin],,1998-02-01,
224.0.1.70,MMP-bundle-discovery2,[Gary_Scott_Malkin],,1998-02-01,
224.0.1.71,XYPOINT DGPS Data Feed,[NE-TEAM_at_telecomsys.com],,1998-02-01,
224.0.1.72,GilatSkySurfer,[Yossi_Gal],,1998-02-01,
224.0.1.73,SharesLive,[Shane_Rowatt],,1997-03-01,
224.0.1.74,NorthernData,[[Sheers]],,,
224.0.1.75,SIP,[[Schulzrinne]],,,
224.0.1.76,IAPP,[Henri_Moelard],,1998-03,
224.0.1.77,AGENTVIEW,[Ram_Iyer],,1998-03-01,
224.0.1.78,Tibco Multicast1,[Raymond_Shum],,1998-04-01,
224.0.1.79,Tibco Multicast2,[Raymond_Shum],,1998-04-01,
224.0.1.80,MSP,[Evan_Caves],,1998-06-01,
224.0.1.81,OTT (One-way Trip Time),[Beverly_Schwartz],,1998-06-01,
224.0.1.82,TRACKTICKER,[Alan_Novick],,1998-08-01,
224.0.1.83,dtn-mc,[Bob_Gaddie],,1998-08-01,
224.0.1.84,jini-announcement,[Bob_Scheifler],,1998-08-01,
224.0.1.85,jini-request,[Bob_Scheifler],,1998-08-01,
224.0.1.86,sde-discovery,[Peter_Aronson],,1998-08-01,
224.0.1.87,DirecPC-SI,[Doug_Dillon],,1998-08-01,
224.0.1.88,B1RMonitor,[Ed_Purkiss],,1998-09-01,
224.0.1.89,3Com-AMP3 dRMON,[Prakash_Banthia],,1998-09-01,
224.0.1.90,imFtmSvc,[Zia_Bhatti],,1998-09-01,
224.0.1.91,NQDS4,[Michael_Rosenberg],,1998-09-01,
224.0.1.92,NQDS5,[Michael_Rosenberg],,1998-09-01,
224.0.1.93,NQDS6,[Michael_Rosenberg],,1998-09-01,
224.0.1.94,NLVL12,[Michael_Rosenberg],,1998-09-01,
224.0.1.95,NTDS1,[Michael_Rosenberg],,1998-09-01,
224.0.1.96,NTDS2,[Michael_Rosenberg],,1998-09-01,
224.0.1.97,NODSA,[Michael_Rosenberg],,1998-09-01,
224.0.1.98,NODSB,[Michael_Rosenberg],,1998-09-01,
224.0.1.99,NODSC,[Michael_Rosenberg],,1998-09-01,
224.0.1.100,NODSD,[Michael_Rosenberg],,1998-09-01,
224.0.1.101,NQDS4R,[Michael_Rosenberg],,1998-09-01,
224.0.1.102,NQDS5R,[Michael_Rosenberg],,1998-09-01,
224.0.1.103,NQDS6R,[Michael_Rosenberg],,1998-09-01,
224.0.1.104,NLVL12R,[Michael_Rosenberg],,1998-09-01,
224.0.1.105,NTDS1R,[Michael_Rosenberg],,1998-09-01,
224.0.1.106,NTDS2R,[Michael_Rosenberg],,1998-09-01,
224.0.1.107,NODSAR,[Michael_Rosenberg],,1998-09-01,
224.0.1.108,NODSBR,[Michael_Rosenberg],,1998-09-01,
224.0.1.109,NODSCR,[Michael_Rosenberg],,1998-09-01,
224.0.1.110,NODSDR,[Michael_Rosenberg],,1998-09-01,
224.0.1.111,MRM,[Liming_Wei],,1998-10-01,
224.0.1.112,TVE-FILE,[Dean_Blackketter],,1998-11-01,
224.0.1.113,TVE-ANNOUNCE,[Dean_Blackketter],,1998-11-01,
224.0.1.114,Mac Srv Loc,[Bill_Woodcock],,1998-11-01,
224.0.1.115,Simple Multicast,[Jon_Crowcroft],,1998-11-01,
224.0.1.116,SpectraLinkGW,[Mark_Hamilton],,1998-11-01,
224.0.1.117,dieboldmcast,[Gene_Marsh],,1998-11-01,
224.0.1.118,Tivoli Systems,[Jon_Gabriel],,1998-12-01,
224.0.1.119,pq-lic-mcast,[Bob_Sledge],,1998-12-01,
224.0.1.120,Pico,[Pico_Sales],[Pico],2007-03-01,
224.0.1.121,Pipesplatform,[Daniel_Dissett],,1998-12-01,
224.0.1.122,LiebDevMgmg-DM,[Mike_Velten],,1999-01-01,
224.0.1.123,TRIBALVOICE,[Nigel_Thompson],,1999-01-01,
224.0.1.124,Unassigned (Retracted 1/29/01),,,,
224.0.1.125,PolyCom Relay1,[[Coutiere]],,,
224.0.1.126,Infront Multi1,[Morten_Lindeman],,1999-03-01,
224.0.1.127,XRX DEVICE DISC,[Michael_Wang],,1999-03-01,
224.0.1.128,CNN,[Joel_Lynch],,1999-04-01,
224.0.1.129,PTP-primary,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
224.0.1.130,PTP-alternate1,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
224.0.1.131,PTP-alternate2,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
224.0.1.132,PTP-alternate3,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
224.0.1.133,ProCast,[Shai_Revzen],,1999-04-01,
224.0.1.134,3Com Discp,[Peter_White],,1999-04-01,
224.0.1.135,CS-Multicasting,[Nedelcho_Stanev],,1999-05-01,
224.0.1.136,TS-MC-1,[Darrell_Sveistrup],,1999-06-01,
224.0.1.137,Make Source,[Anthony_Daga],,1999-06-01,
224.0.1.138,Teleborsa,[Paolo_Strazzera],,1999-06-01,
224.0.1.139,SUMAConfig,[Walter_Wallach],,1999-07-01,
224.0.1.140,capwap-ac,[RFC5415],,,
224.0.1.141,DHCP-SERVERS,[Eric_Hall],,1999-10-01,
224.0.1.142,CN Router-LL,[Ian_Armitage],,1999-08-01,
224.0.1.143,EMWIN,[Antonio_Querubin],,2008-02-04,
224.0.1.144,Alchemy Cluster,[Stacey_O_Rourke][Stacey_O_Rourke_2],,1999-08-01,
224.0.1.145,Satcast One,[Julian_Nevell],,1999-08-01,
224.0.1.146,Satcast Two,[Julian_Nevell],,1999-08-01,
224.0.1.147,Satcast Three,[Julian_Nevell],,1999-08-01,
224.0.1.148,Intline,[Robert_Sliwinski],,2000-02-01,
224.0.1.149,8x8 Multicast,[Mike_Roper],,1999-09-01,
224.0.1.150,Ramp AltitudeCDN MulticastPlus,[Giovanni_Marzot],[Ramp_Holdings],2019-03-13,
224.0.1.151,Intline-1,[Robert_Sliwinski],,2000-02-01,
224.0.1.152,Intline-2,[Robert_Sliwinski],,2000-02-01,
224.0.1.153,Intline-3,[Robert_Sliwinski],,2000-02-01,
224.0.1.154,Intline-4,[Robert_Sliwinski],,2000-02-01,
224.0.1.155,Intline-5,[Robert_Sliwinski],,2000-02-01,
224.0.1.156,Intline-6,[Robert_Sliwinski],,2000-02-01,
224.0.1.157,Intline-7,[Robert_Sliwinski],,2000-02-01,
224.0.1.158,Intline-8,[Robert_Sliwinski],,2000-02-01,
224.0.1.159,Intline-9,[Robert_Sliwinski],,2000-02-01,
224.0.1.160,Intline-10,[Robert_Sliwinski],,2000-02-01,
224.0.1.161,Intline-11,[Robert_Sliwinski],,2000-02-01,
224.0.1.162,Intline-12,[Robert_Sliwinski],,2000-02-01,
224.0.1.163,Intline-13,[Robert_Sliwinski],,2000-02-01,
224.0.1.164,Intline-14,[Robert_Sliwinski],,2000-02-01,
224.0.1.165,Intline-15,[Robert_Sliwinski],,2000-02-01,
224.0.1.166,marratech-cc,[Peter_Parnes],,2000-02-01,
224.0.1.167,EMS-InterDev,[Stephen_T_Lyda],,2000-02-01,
224.0.1.168,itb301,[Bodo_Rueskamp],,2000-03-01,
224.0.1.169,rtv-audio,[Chris_Adams],,2000-07-01,
224.0.1.170,rtv-video,[Chris_Adams],,2000-07-01,
224.0.1.171,HAVI-Sim,[Stephan_Wasserroth],,2000-07-01,
224.0.1.172,Nokia Cluster,[Stacey_O_Rourke][Stacey_O_Rourke_2],,1999-08-01,
224.0.1.173,host-request,[Keith_Thompson],,2001-06-01,
224.0.1.174,host-announce,[Keith_Thompson],,2001-06-01,
224.0.1.175,ptk-cluster,[Robert_Hodgson],,2001-12-01,
224.0.1.176,Proxim Protocol,[Gajendra_Shukla],,2002-02-01,
224.0.1.177,Gemtek Systems,[Alex_Lee],,2002-10-01,
224.0.1.178,IEEE IAPP,[Stuart_Kerry],,2003-01-01,
224.0.1.179,1451_Dot5_802_Discovery,[Ryon_Coleman],,2006-04-11,
224.0.1.180,1451_Dot5_802_Group_1,[Ryon_Coleman],,2006-04-11,
224.0.1.181,1451_Dot5_802_Group_2,[Ryon_Coleman],,2006-04-11,
224.0.1.182,1451_Dot5_802_Group_3,[Ryon_Coleman],,2006-04-11,
224.0.1.183,1451_Dot5_802_Group_4,[Ryon_Coleman],,2006-04-11,
224.0.1.184,VFSDP,[Adam_Yellen],,2007-03-06,
224.0.1.185,ASAP,[RFC5352],,,
224.0.1.186,SL-MANET-ROUTERS,[RFC6621],,,
224.0.1.187,All CoAP Nodes,[RFC7252],,2013-07-25,
224.0.1.188,BRSDP,[Vanya_Levy],[Semtech_Corporation],2019-02-20,
224.0.1.189,Amateur radio DMR,[ETSI TS 102 361-3][Jean-Marc_MAGNIER],[Jean-Marc_MAGNIER],2021-02-08,
224.0.1.190,all CoRE resource directories,[RFC-ietf-core-resource-directory-28],,2021-03-16,
224.0.1.191-224.0.1.255,Unassigned,,,,
