CAtype,Local Name,Description,Example,Namespace URI,Contact,Schema,Type,Reference
24,PC,postal/zip code,10027-1234,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
25,BLD,building (structure),Low Library,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
26,UNIT,"unit (apartment, suite)",Apt 42,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
27,FLR,floor,4,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
28,ROOM,room number,450F,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
29,PLC,type of place,office,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4589][RFC5139]
30,PCN,postal community name,Leonia,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
31,POBOX,post office box (P.O. Box),12345,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
32,ADDCODE,additional code,13203000003,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
33,SEAT,"seat (desk, cubicle, workstation)",WS 181,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
34,RD,Primary road or street,Broadway,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
35,RDSEC,Road section,14,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
36,RDBR,Road branch,Lane 7,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
37,RDSUBBR,Road sub-branch,Alley 8,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
38,PRM,Street name pre-modifier,Old,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
39,POM,Street name post-modifier,Service,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776][RFC5139]
40,PN,Post number that is attributed to a lamp post or utility pole.,,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr:ext,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr:ext,A,[RFC6848]
40,MP,Milepost: a marker indicating distance to or from a place (often a town).,,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr:ext,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr:ext,A,[RFC6848]
40,STP,Street Type Prefix.,,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr:ext,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr:ext,A,[RFC6848]
40,HNP,House Number Prefix.,,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr:ext,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr:ext,A,[RFC6848]
40,STPS,Separator between the existing Street Type Prefix (STP) and the Road Name (RD) elements.,,urn:nena:xml:ns:pidf:nenaCivicAddr,[The_NENA_Registry_System],urn:nena:xml:schema:pidf:nenaCivicAddr,B,[NENA-STA-004]
40,LMKP,Component part of a Complete Landmark Name.,,urn:nena:xml:ns:pidf:nenaCivicAddr,[The_NENA_Registry_System],urn:nena:xml:schema:pidf:nenaCivicAddr,B,[NENA-STA-004]
41-127,,RESERVED by Relative Location Parameters registry,,,,,,[RFC7035]
128,,script,Latn,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,The IESG (iesg@ietf.org); the GEOPRIV working group (geopriv@ietf.org),urn:ietf:params:xml:schema:pidf:geopriv10:civicAddr,A,[RFC4776]
129-131,,RESERVED by Relative Location Parameters registry,,,,,,[RFC7035]
132-254,,Unassigned,,,,,,
255,,Reserved,,,,,,[RFC4776]
