Address(es),Description,Reference,Change Controller,Date Registered,Last Reviewed
FF0X:0:0:0:0:0:0:135,PHILIPS-HEALTH,[Anthony_Kandaya],,2010-02-26,
FF0X:0:0:0:0:0:0:136,PHILIPS-HEALTH,[Anthony_Kandaya],,2010-02-26,
FF0X:0:0:0:0:0:0:137,Niagara,[Owen_Michael_James],,2010-09-13,
FF0X:0:0:0:0:0:0:138,LXI-EVENT,[Tom_Fay],,2011-01-31,
FF0X:0:0:0:0:0:0:139,LANCOM Discover,[Martin_Krebs],,2011-05-09,
FF0X:0:0:0:0:0:0:13A,AllJoyn,[Craig_Dowell],,2011-11-18,
FF0X:0:0:0:0:0:0:13B,GNUnet,[Christian_Grothoff],,2011-11-22,
FF0X:0:0:0:0:0:0:13C,fos4Xdevices,[Rolf_Wojtech],,2011-12-07,
FF0X:0:0:0:0:0:0:13D,USNAMES-NET-MC,[Christopher_Mettin],,2013-01-24,
FF0X:0:0:0:0:0:0:13E,hp-msm-discover,[John_Flick],,2013-02-28,
FF0X:0:0:0:0:0:0:13F,"SANYO DENKI CO., LTD.",[Yuuki_Hara],,2014-03-20,
FF0X:0:0:0:0:0:0:140-FF0X:0:0:0:0:0:0:14F,EPSON-disc-set,[Seiko_Epson_Corp],,2010-02-26,
FF0X:0:0:0:0:0:0:150,an-adj-disc,[Toerless_Eckert],,2014-06-04,
FF0X:0:0:0:0:0:0:151,Canon-Device-control,[Hiroshi_Okubo],,2014-08-01,
FF0X:0:0:0:0:0:0:152,TinyMessage,[Josip_Medved],,2014-12-09,
FF0X:0:0:0:0:0:0:153,ZigBee NAN DS,[Yusuke_Doi],,2015-08-21,
FF0X:0:0:0:0:0:0:154,ZigBee NAN DI,[Yusuke_Doi],,2015-08-21,
FF0X:0:0:0:0:0:0:155,jini-announcement,[Jini Discovery and Join Specification][Peter_Grahame_Firmstone],,2015-08-27,
FF0X:0:0:0:0:0:0:156,jini-request,[Jini Discovery and Join Specification][Peter_Grahame_Firmstone],,2015-08-27,
FF0X:0:0:0:0:0:0:157,hbmdevices,[Stephan_Gatzka],,2015-10-26,
FF0X:0:0:0:0:0:0:158,All OCF Nodes,[Stephane_Lejeune],,2016-07-07,
FF0X:0:0:0:0:0:0:159,Crestron Autodiscover & Config,[Toine_C._Leerentveld],,2016-09-27,
FF0X:0:0:0:0:0:0:15A,MAAS,[Mike_Pontillo],,2017-05-19,
FF0X:0:0:0:0:0:0:15B,SwapAppMulticast,[Applykane],,2017-05-26,
FF0X:0:0:0:0:0:0:15C,Gluon mesh VXLAN,[Matthias_Schiffer],,2017-06-27,
FF0X:0:0:0:0:0:0:15D,All-FHCD-Nodes,[Johan_Peeters],,2018-05-01,
FF0X:0:0:0:0:0:0:15E,CNP-HD-PLC,[Ernst_EDER],[LonMark_International],2018-11-15,
FF0X:0:0:0:0:0:0:15F,UFMP,[Shachar_Dor],[Mellanox],2019-06-25,
FF0X:0:0:0:0:0:0:160-FF0X:0:0:0:0:0:0:16F,NMEA OneNet,[Steve_Spitzer],,2015-06-29,
FF0X:0:0:0:0:0:0:170,Nix Local Binary Caches,[Andreas_Rammhold],,2019-10-02,
FF0X:0:0:0:0:0:0:171,GNodes,[Giuseppe_Gori],,2021-02-12,
FF0X:0:0:0:0:0:0:172-FF0X:0:0:0:0:0:0:174,Unassigned,,,,
FF0X:0:0:0:0:0:0:175,all SIP servers,[Rick_van_Rein],,2015-07-21,
FF0X:0:0:0:0:0:0:176-FF0X:0:0:0:0:0:0:180,Unassigned,,,,
FF0X:0:0:0:0:0:0:181,PTP-primary,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
FF0X:0:0:0:0:0:0:182,PTP-alternate1,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
FF0X:0:0:0:0:0:0:183,PTP-alternate2,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
FF0X:0:0:0:0:0:0:184,PTP-alternate3,[http://ieee1588.nist.gov/][Kang_Lee],,2007-02-02,
FF0X:0:0:0:0:0:0:185-FF0X:0:0:0:0:0:0:18B,Unassigned,,,,
FF0X:0:0:0:0:0:0:18C,All ACs multicast address,[RFC5415],,,
FF0X:0:0:0:0:0:0:18D-FF0X:0:0:0:0:0:0:200,Unassigned,,,,
FF0X:0:0:0:0:0:0:201,"""rwho"" Group (BSD) (unofficial)",[Jon_Postel],,,
FF0X:0:0:0:0:0:0:202,SUN RPC PMAPPROC_CALLIT,[Brendan_Eic],,,
FF0X:0:0:0:0:0:0:204,All C1222 Nodes,[RFC6142],,2009-08-28,
FF0X:0:0:0:0:0:0:205,Hexabus,[Mathias_Dalheimer],,2013-08-09,
FF0X:0:0:0:0:0:0:206,multicast chat,[Patrik_Lahti],,2013-08-13,
FF0X:0:0:0:0:0:0:207-FF0X:0:0:0:0:0:0:2BF,Unassigned,,,,
FF0X:0:0:0:0:0:0:2C0-FF0X:0:0:0:0:0:0:2FF,Garmin Marine,[Nathan_Karstens],,2015-02-19,
FF0X:0:0:0:0:0:0:300,Mbus/Ipv6,[RFC3259],,,
FF0X:0:0:0:0:0:0:301-FF0X:0:0:0:0:0:0:3FF,Unassigned,,,,
FF0X:0:0:0:0:0:0:400,Cell Broadcast Encapsulation,[Meridian_Labs_LTD][LIRNEasia],"[Meridian_Labs_LTD]
        [LIRNEasia]",2020-10-07,
FF0X:0:0:0:0:0:0:401-FF0X:0:0:0:0:0:0:4FF,Civic Telemetry,[Meridian_Labs_LTD][LIRNEasia],"[Meridian_Labs_LTD]
        [LIRNEasia]",2020-10-07,
FF0X:0:0:0:0:0:0:500-FF0X:0:0:0:0:0:0:3485,Unassigned,,,,
FF0X:0:0:0:0:0:0:3486,IFSF Heartbeat,[John_Carrier],,2015-06-15,
FF0X:0:0:0:0:0:0:3487-FF0X:0:0:0:0:0:0:BABF,Unassigned,,,,
FF0X:0:0:0:0:0:0:BAC0,BACnet,[Coleman_Brumley],,2010-11-22,
FF0X:0:0:0:0:0:1:1000/118,"Service Location, Version 2",[RFC3111],,,
FF0X:0:0:0:0:0:2:0000-FF0X:0:0:0:0:0:2:7FFD,Multimedia Conference Calls,[Steve_Casner],,,
FF0X:0:0:0:0:0:2:7FFE,SAPv1 Announcements,[Steve_Casner],,,
FF0X:0:0:0:0:0:2:7FFF,SAPv0 Announcements (deprecated),[Steve_Casner],,,
FF0X:0:0:0:0:0:2:8000-FF0X:0:0:0:0:0:2:FFFF,SAP Dynamic Assignments,[Steve_Casner],,,
FF0X:0:0:0:0:0:3:0-FF0X:0:0:0:0:0:3:FFFF,DALI,[Scott_Wade],[DALI_Alliance_DiiA],2021-03-12,
FF0X:0:0:0:0:DB8::/96,Documentation Addresses,[RFC6676],,,
