Algorithm Name,Algorithm Description,Algorithm Usage Location(s),JOSE Implementation Requirements,Change Controller,Reference,Algorithm Analysis Document(s)
A192GCM,AES GCM using 192-bit key,enc,Optional,[IESG],"[RFC7518, Section 5.3]",n/a
A256GCM,AES GCM using 256-bit key,enc,Recommended,[IESG],"[RFC7518, Section 5.3]",n/a
EdDSA,EdDSA signature algorithms,alg,Optional,[IESG],"[RFC-ietf-jose-cfrg-curves-06, Section 3.1]",[RFC8032]
RS1,RSASSA-PKCS1-v1_5 with SHA-1,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
RSA-OAEP-384,RSA-OAEP using SHA-384 and MGF1 with SHA-384,alg,Optional,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],n/a
RSA-OAEP-512,RSA-OAEP using SHA-512 and MGF1 with SHA-512,alg,Optional,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],n/a
A128CBC,AES CBC using 128 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
A192CBC,AES CBC using 192 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
A256CBC,AES CBC using 256 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
A128CTR,AES CTR using 128 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
A192CTR,AES CTR using 192 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
A256CTR,AES CTR using 256 bit key,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
HS1,HMAC using SHA-1,JWK,Prohibited,[W3C_Web_Cryptography_Working_Group],[https://www.w3.org/TR/WebCryptoAPI],[draft-irtf-cfrg-webcrypto-algorithms]
