Type,SDP Name,Mux Category,Reference
att-field (both session and media level),mtag,CAUTION,[RFC7826][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),ts-refclk,NORMAL,[RFC7273][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),mediaclk,NORMAL,[RFC7273][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),calgextmap,NORMAL,[RFC7266][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),phone-context,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),clir,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),Q763-nature,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),Q763-plan,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),Q763-INN,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),require,TBD,[RFC2848][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),record,TBD,[RFC7866][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),recordpref,TBD,[RFC7866][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),rtcp-rgrp,TBD,[RFC-ietf-avtcore-rtp-multi-stream-optimisation-12][RFC-ietf-mmusic-sdp-mux-attributes-16]
att-field (both session and media level),suspended,TBD,[NENA STA-010.2-2016][Brian_Rosen][RFC-ietf-mmusic-sdp-mux-attributes-16]
