Value,Type,Description,Registrant,Reference
client transfer prohibited,status,"The client requested that requests to transfer the
        object MUST be rejected.  This maps to the Extensible Provisioning
        Protocol (EPP) Domain Name Mapping [RFC5731] and Extensible
        Provisioning Protocol (EPP) Contact Mapping [RFC5733]
        'clientTransferProhibited' status.",[IESG],[RFC8056]
client update prohibited,status,"The client requested that requests to update the object
        (other than to remove this status) MUST be rejected.  This maps to
        the Extensible Provisioning Protocol (EPP) Domain Name Mapping
        [RFC5731], Extensible Provisioning Protocol (EPP) Host Mapping
        [RFC5732], and Extensible Provisioning Protocol (EPP) Contact Mapping
        [RFC5733] 'clientUpdateProhibited' status.",[IESG],[RFC8056]
pending restore,status,"An object is in the process of being restored after
        being in the redemption period state.  This maps to the Domain
        Registry Grace Period Mapping for the Extensible Provisioning
        Protocol (EPP) [RFC3915] 'pendingRestore' status.",[IESG],[RFC8056]
redemption period,status,"A delete has been received, but the object has not yet
        been purged because an opportunity exists to restore the object and
        abort the deletion process.  This maps to the Domain Registry Grace
        Period Mapping for the Extensible Provisioning Protocol (EPP)
        [RFC3915] 'redemptionPeriod' status.",[IESG],[RFC8056]
renew period,status,"This grace period is provided after an object
        registration period is explicitly extended (renewed) by the client.
        If the object is deleted by the client during this period, the server
        provides a credit to the client for the cost of the renewal.  This
        maps to the Domain Registry Grace Period Mapping for the Extensible
        Provisioning Protocol (EPP) [RFC3915] 'renewPeriod' status.",[IESG],[RFC8056]
server delete prohibited,status,"The server set the status so that requests to delete the
        object MUST be rejected.  This maps to the Extensible Provisioning
        Protocol (EPP) Domain Name Mapping [RFC5731], Extensible Provisioning
        Protocol (EPP) Host Mapping [RFC5732], and Extensible Provisioning
        Protocol (EPP) Contact Mapping [RFC5733] 'serverDeleteProhibited'
        status.",[IESG],[RFC8056]
server renew prohibited,status,"The server set the status so that requests to renew the
        object MUST be rejected.  This maps to the Extensible Provisioning
        Protocol (EPP) Domain Name Mapping [RFC5731] 'serverRenewProhibited'
        status.",[IESG],[RFC8056]
server transfer prohibited,status,"The server set the status so that requests to transfer
        the object MUST be rejected.  This maps to the Extensible
        Provisioning Protocol (EPP) Domain Name Mapping [RFC5731] and
        Extensible Provisioning Protocol (EPP) Contact Mapping [RFC5733]
        'serverTransferProhibited' status.",[IESG],[RFC8056]
server update prohibited,status,"The server set the status so that requests to update the
        object (other than to remove this status) MUST be rejected.  This
        maps to the Extensible Provisioning Protocol (EPP) Domain Name
        Mapping [RFC5731], Extensible Provisioning Protocol (EPP) Host
        Mapping [RFC5732], and Extensible Provisioning Protocol (EPP) Contact
        Mapping [RFC5733] 'serverUpdateProhibited' status.",[IESG],[RFC8056]
server hold,status,"The server set the status so that DNS delegation
        information MUST NOT be published for the object.  This maps to the
        Extensible Provisioning Protocol (EPP) Domain Name Mapping [RFC5731]
        'serverHold' status.",[IESG],[RFC8056]
transfer period,status,"This grace period is provided after the successful
        transfer of object registration sponsorship from one client to
        another client.  If the object is deleted by the client during this
        period, the server provides a credit to the client for the cost of
        the transfer.  This maps to the Domain Registry Grace Period Mapping
        for the Extensible Provisioning Protocol (EPP) [RFC3915]
        'transferPeriod' status.",[IESG],[RFC8056]
registration,event action,The object instance was initially registered.,[IESG],[RFC7483]
reregistration,event action,"The object instance was registered subsequently
          to initial registration.",[IESG],[RFC7483]
last changed,event action,"An action noting when the information in the
          object instance was last changed.",[IESG],[RFC7483]
expiration,event action,"The object instance has been removed or will be
          removed at a pre-determined date and time from the registry.",[IESG],[RFC7483]
deletion,event action,"The object instance was removed from the registry
          at a point in time that was not pre-determined.",[IESG],[RFC7483]
reinstantiation,event action,"The object instance was reregistered after having
          been removed from the registry.",[IESG],[RFC7483]
transfer,event action,"The object instance was transferred from one
          registrant to another.",[IESG],[RFC7483]
locked,event action,"The object instance was locked (see the 'locked'
          status).",[IESG],[RFC7483]
unlocked,event action,"The object instance was unlocked (see the
          'locked' status).",[IESG],[RFC7483]
registrant,role,"The entity object instance is the registrant of
           the registration.  In some registries, this is known as a
           maintainer.",[IESG],[RFC7483]
technical,role,"The entity object instance is a technical
           contact for the registration.",[IESG],[RFC7483]
administrative,role,"The entity object instance is an administrative
           contact for the registration.",[IESG],[RFC7483]
abuse,role,"The entity object instance handles network abuse
           issues on behalf of the registrant of the registration.",[IESG],[RFC7483]
billing,role,"The entity object instance handles payment and
           billing issues on behalf of the registrant of the
           registration.",[IESG],[RFC7483]
registrar,role,"The entity object instance represents the
           authority responsible for the registration in the registry.",[IESG],[RFC7483]
reseller,role,"The entity object instance represents a third
           party through which the registration was conducted (i.e. not
           the registry or registrar).",[IESG],[RFC7483]
sponsor,role,"The entity object instance represents a domain
           policy sponsor, such as an ICANN approved sponsor.",[IESG],[RFC7483]
proxy,role,"The entity object instance represents a proxy
           for another entity object, such as a registrant.",[IESG],[RFC7483]
notifications,role,"An entity object instance designated to receive
           notifications about association object instances.",[IESG],[RFC7483]
noc,role,"The entity object instance handles
           communications related to a network operations center (NOC).",[IESG],[RFC7483]
registered,domain variant relation,The variant names are registered in the registry.,[IESG],[RFC7483]
unregistered,domain variant relation,The variant names are not found in the registry.,[IESG],[RFC7483]
registration restricted,domain variant relation,"Registration of the variant names is restricted
          to certain parties or within certain rules.",[IESG],[RFC7483]
open registration,domain variant relation,"Registration of the variant names is available to
          generally qualified registrants.",[IESG],[RFC7483]
conjoined,domain variant relation,"Registration of the variant names occurs
          automatically with the registration of the containing domain
          registration.",[IESG],[RFC7483]
last update of RDAP database,event action,"An action noting when the information in the object
instance in the RDAP database was last synchronized from the
authoritative database (e.g. registry database).",[ICANN],
registrar expiration,event action,"An action noting the expiration date of the object in
the registrar system.",[ICANN],
enum validation expiration,event action,"Association of phone number represented by this ENUM domain 
        to registrant has expired or will expire at a pre-determined date and 
        time.",[CZ.NIC_z._s._p._o.],
