Value,Description,Recommended,Reference
0x4C00-0x4C03,Reserved for backward compatibility,,[RFC8446]
0x4C04-0x4CFF,Unassigned,,
0x4D00-0x4D03,Reserved for backward compatibility,,[RFC8446]
0x4D04-0x4DFF,Unassigned,,
0x4E00-0x4E03,Reserved for backward compatibility,,[RFC8446]
0x4E04-0x4EFF,Unassigned,,
0x4F00-0x4F03,Reserved for backward compatibility,,[RFC8446]
0x4F04-0x4FFF,Unassigned,,
0x5000-0x5003,Reserved for backward compatibility,,[RFC8446]
0x5004-0x50FF,Unassigned,,
0x5100-0x5103,Reserved for backward compatibility,,[RFC8446]
0x5104-0x51FF,Unassigned,,
0x5200-0x5203,Reserved for backward compatibility,,[RFC8446]
0x5204-0x52FF,Unassigned,,
0x5300-0x5303,Reserved for backward compatibility,,[RFC8446]
0x5304-0x53FF,Unassigned,,
0x5400-0x5403,Reserved for backward compatibility,,[RFC8446]
0x5404-0x54FF,Unassigned,,
0x5500-0x5503,Reserved for backward compatibility,,[RFC8446]
0x5504-0x55FF,Unassigned,,
0x5600-0x5603,Reserved for backward compatibility,,[RFC8446]
0x5604-0x56FF,Unassigned,,
0x5700-0x5703,Reserved for backward compatibility,,[RFC8446]
0x5704-0x57FF,Unassigned,,
0x5800-0x5803,Reserved for backward compatibility,,[RFC8446]
0x5804-0x58FF,Unassigned,,
0x5900-0x5903,Reserved for backward compatibility,,[RFC8446]
0x5904-0x59FF,Unassigned,,
0x5A00-0x5A03,Reserved for backward compatibility,,[RFC8446]
0x5A04-0x5AFF,Unassigned,,
0x5B00-0x5B03,Reserved for backward compatibility,,[RFC8446]
0x5B04-0x5BFF,Unassigned,,
0x5C00-0x5C03,Reserved for backward compatibility,,[RFC8446]
0x5C04-0x5CFF,Unassigned,,
0x5D00-0x5D03,Reserved for backward compatibility,,[RFC8446]
0x5D04-0x5DFF,Unassigned,,
0x5E00-0x5E03,Reserved for backward compatibility,,[RFC8446]
0x5E04-0x5EFF,Unassigned,,
0x5F00-0x5F03,Reserved for backward compatibility,,[RFC8446]
0x5F04-0x5FFF,Unassigned,,
0x6000-0x6003,Reserved for backward compatibility,,[RFC8446]
0x6004-0x60FF,Unassigned,,
0x6100-0x6103,Reserved for backward compatibility,,[RFC8446]
0x6104-0x61FF,Unassigned,,
0x6200-0x6203,Reserved for backward compatibility,,[RFC8446]
0x6204-0x62FF,Unassigned,,
0x6300-0x6303,Reserved for backward compatibility,,[RFC8446]
0x6304-0x63FF,Unassigned,,
0x6400-0x6403,Reserved for backward compatibility,,[RFC8446]
0x6404-0x64FF,Unassigned,,
0x6500-0x6503,Reserved for backward compatibility,,[RFC8446]
0x6504-0x65FF,Unassigned,,
0x6600-0x6603,Reserved for backward compatibility,,[RFC8446]
0x6604-0x66FF,Unassigned,,
0x6700-0x6703,Reserved for backward compatibility,,[RFC8446]
0x6704-0x67FF,Unassigned,,
0x6800-0x6803,Reserved for backward compatibility,,[RFC8446]
0x6804-0x68FF,Unassigned,,
0x6900-0x6903,Reserved for backward compatibility,,[RFC8446]
0x6904-0x69FF,Unassigned,,
0x6A00-0x6A03,Reserved for backward compatibility,,[RFC8446]
0x6A04-0x6AFF,Unassigned,,
0x6B00-0x6B03,Reserved for backward compatibility,,[RFC8446]
0x6B04-0x6BFF,Unassigned,,
0x6C00-0x6C03,Reserved for backward compatibility,,[RFC8446]
0x6C04-0x6CFF,Unassigned,,
0x6D00-0x6D03,Reserved for backward compatibility,,[RFC8446]
0x6D04-0x6DFF,Unassigned,,
0x6E00-0x6E03,Reserved for backward compatibility,,[RFC8446]
0x6E04-0x6EFF,Unassigned,,
0x6F00-0x6F03,Reserved for backward compatibility,,[RFC8446]
0x6F04-0x6FFF,Unassigned,,
0x7000-0x7003,Reserved for backward compatibility,,[RFC8446]
0x7004-0x70FF,Unassigned,,
0x7100-0x7103,Reserved for backward compatibility,,[RFC8446]
0x7104-0x71FF,Unassigned,,
0x7200-0x7203,Reserved for backward compatibility,,[RFC8446]
0x7204-0x72FF,Unassigned,,
0x7300-0x7303,Reserved for backward compatibility,,[RFC8446]
0x7304-0x73FF,Unassigned,,
0x7400-0x7403,Reserved for backward compatibility,,[RFC8446]
0x7404-0x74FF,Unassigned,,
0x7500-0x7503,Reserved for backward compatibility,,[RFC8446]
0x7504-0x75FF,Unassigned,,
0x7600-0x7603,Reserved for backward compatibility,,[RFC8446]
0x7604-0x76FF,Unassigned,,
0x7700-0x7703,Reserved for backward compatibility,,[RFC8446]
0x7704-0x77FF,Unassigned,,
0x7800-0x7803,Reserved for backward compatibility,,[RFC8446]
0x7804-0x78FF,Unassigned,,
0x7900-0x7903,Reserved for backward compatibility,,[RFC8446]
0x7904-0x79FF,Unassigned,,
0x7A00-0x7A03,Reserved for backward compatibility,,[RFC8446]
0x7A04-0x7AFF,Unassigned,,
0x7B00-0x7B03,Reserved for backward compatibility,,[RFC8446]
0x7B04-0x7BFF,Unassigned,,
0x7C00-0x7C03,Reserved for backward compatibility,,[RFC8446]
0x7C04-0x7CFF,Unassigned,,
0x7D00-0x7D03,Reserved for backward compatibility,,[RFC8446]
0x7D04-0x7DFF,Unassigned,,
0x7E00-0x7E03,Reserved for backward compatibility,,[RFC8446]
0x7E04-0x7EFF,Unassigned,,
0x7F00-0x7F03,Reserved for backward compatibility,,[RFC8446]
0x7F04-0x7FFF,Unassigned,,
0x8000-0x8003,Reserved for backward compatibility,,[RFC8446]
0x8004-0x80FF,Unassigned,,
0x8100-0x8103,Reserved for backward compatibility,,[RFC8446]
0x8104-0x81FF,Unassigned,,
0x8200-0x8203,Reserved for backward compatibility,,[RFC8446]
0x8204-0x82FF,Unassigned,,
0x8300-0x8303,Reserved for backward compatibility,,[RFC8446]
0x8304-0x83FF,Unassigned,,
0x8400-0x8403,Reserved for backward compatibility,,[RFC8446]
0x8404-0x84FF,Unassigned,,
0x8500-0x8503,Reserved for backward compatibility,,[RFC8446]
0x8504-0x85FF,Unassigned,,
0x8600-0x8603,Reserved for backward compatibility,,[RFC8446]
0x8604-0x86FF,Unassigned,,
0x8700-0x8703,Reserved for backward compatibility,,[RFC8446]
0x8704-0x87FF,Unassigned,,
0x8800-0x8803,Reserved for backward compatibility,,[RFC8446]
0x8804-0x88FF,Unassigned,,
0x8900-0x8903,Reserved for backward compatibility,,[RFC8446]
0x8904-0x89FF,Unassigned,,
0x8A00-0x8A03,Reserved for backward compatibility,,[RFC8446]
0x8A04-0x8AFF,Unassigned,,
0x8B00-0x8B03,Reserved for backward compatibility,,[RFC8446]
0x8B04-0x8BFF,Unassigned,,
0x8C00-0x8C03,Reserved for backward compatibility,,[RFC8446]
0x8C04-0x8CFF,Unassigned,,
0x8D00-0x8D03,Reserved for backward compatibility,,[RFC8446]
0x8D04-0x8DFF,Unassigned,,
0x8E00-0x8E03,Reserved for backward compatibility,,[RFC8446]
0x8E04-0x8EFF,Unassigned,,
0x8F00-0x8F03,Reserved for backward compatibility,,[RFC8446]
0x8F04-0x8FFF,Unassigned,,
0x9000-0x9003,Reserved for backward compatibility,,[RFC8446]
0x9004-0x90FF,Unassigned,,
0x9100-0x9103,Reserved for backward compatibility,,[RFC8446]
0x9104-0x91FF,Unassigned,,
0x9200-0x9203,Reserved for backward compatibility,,[RFC8446]
0x9204-0x92FF,Unassigned,,
0x9300-0x9303,Reserved for backward compatibility,,[RFC8446]
0x9304-0x93FF,Unassigned,,
0x9400-0x9403,Reserved for backward compatibility,,[RFC8446]
0x9404-0x94FF,Unassigned,,
0x9500-0x9503,Reserved for backward compatibility,,[RFC8446]
0x9504-0x95FF,Unassigned,,
0x9600-0x9603,Reserved for backward compatibility,,[RFC8446]
0x9604-0x96FF,Unassigned,,
0x9700-0x9703,Reserved for backward compatibility,,[RFC8446]
0x9704-0x97FF,Unassigned,,
0x9800-0x9803,Reserved for backward compatibility,,[RFC8446]
0x9804-0x98FF,Unassigned,,
0x9900-0x9903,Reserved for backward compatibility,,[RFC8446]
0x9904-0x99FF,Unassigned,,
0x9A00-0x9A03,Reserved for backward compatibility,,[RFC8446]
0x9A04-0x9AFF,Unassigned,,
0x9B00-0x9B03,Reserved for backward compatibility,,[RFC8446]
0x9B04-0x9BFF,Unassigned,,
0x9C00-0x9C03,Reserved for backward compatibility,,[RFC8446]
0x9C04-0x9CFF,Unassigned,,
0x9D00-0x9D03,Reserved for backward compatibility,,[RFC8446]
0x9D04-0x9DFF,Unassigned,,
0x9E00-0x9E03,Reserved for backward compatibility,,[RFC8446]
0x9E04-0x9EFF,Unassigned,,
0x9F00-0x9F03,Reserved for backward compatibility,,[RFC8446]
0x9F04-0x9FFF,Unassigned,,
0xA000-0xA003,Reserved for backward compatibility,,[RFC8446]
0xA004-0xA0FF,Unassigned,,
0xA100-0xA103,Reserved for backward compatibility,,[RFC8446]
0xA104-0xA1FF,Unassigned,,
0xA200-0xA203,Reserved for backward compatibility,,[RFC8446]
0xA204-0xA2FF,Unassigned,,
0xA300-0xA303,Reserved for backward compatibility,,[RFC8446]
0xA304-0xA3FF,Unassigned,,
0xA400-0xA403,Reserved for backward compatibility,,[RFC8446]
0xA404-0xA4FF,Unassigned,,
0xA500-0xA503,Reserved for backward compatibility,,[RFC8446]
0xA504-0xA5FF,Unassigned,,
0xA600-0xA603,Reserved for backward compatibility,,[RFC8446]
0xA604-0xA6FF,Unassigned,,
0xA700-0xA703,Reserved for backward compatibility,,[RFC8446]
0xA704-0xA7FF,Unassigned,,
0xA800-0xA803,Reserved for backward compatibility,,[RFC8446]
0xA804-0xA8FF,Unassigned,,
0xA900-0xA903,Reserved for backward compatibility,,[RFC8446]
0xA904-0xA9FF,Unassigned,,
0xAA00-0xAA03,Reserved for backward compatibility,,[RFC8446]
0xAA04-0xAAFF,Unassigned,,
0xAB00-0xAB03,Reserved for backward compatibility,,[RFC8446]
0xAB04-0xABFF,Unassigned,,
0xAC00-0xAC03,Reserved for backward compatibility,,[RFC8446]
0xAC04-0xACFF,Unassigned,,
0xAD00-0xAD03,Reserved for backward compatibility,,[RFC8446]
0xAD04-0xADFF,Unassigned,,
0xAE00-0xAE03,Reserved for backward compatibility,,[RFC8446]
0xAE04-0xAEFF,Unassigned,,
0xAF00-0xAF03,Reserved for backward compatibility,,[RFC8446]
0xAF04-0xAFFF,Unassigned,,
0xB000-0xB003,Reserved for backward compatibility,,[RFC8446]
0xB004-0xB0FF,Unassigned,,
0xB100-0xB103,Reserved for backward compatibility,,[RFC8446]
0xB104-0xB1FF,Unassigned,,
0xB200-0xB203,Reserved for backward compatibility,,[RFC8446]
0xB204-0xB2FF,Unassigned,,
0xB300-0xB303,Reserved for backward compatibility,,[RFC8446]
0xB304-0xB3FF,Unassigned,,
0xB400-0xB403,Reserved for backward compatibility,,[RFC8446]
0xB404-0xB4FF,Unassigned,,
0xB500-0xB503,Reserved for backward compatibility,,[RFC8446]
0xB504-0xB5FF,Unassigned,,
0xB600-0xB603,Reserved for backward compatibility,,[RFC8446]
0xB604-0xB6FF,Unassigned,,
0xB700-0xB703,Reserved for backward compatibility,,[RFC8446]
0xB704-0xB7FF,Unassigned,,
0xB800-0xB803,Reserved for backward compatibility,,[RFC8446]
0xB804-0xB8FF,Unassigned,,
0xB900-0xB903,Reserved for backward compatibility,,[RFC8446]
0xB904-0xB9FF,Unassigned,,
0xBA00-0xBA03,Reserved for backward compatibility,,[RFC8446]
0xBA04-0xBAFF,Unassigned,,
0xBB00-0xBB03,Reserved for backward compatibility,,[RFC8446]
0xBB04-0xBBFF,Unassigned,,
0xBC00-0xBC03,Reserved for backward compatibility,,[RFC8446]
0xBC04-0xBCFF,Unassigned,,
0xBD00-0xBD03,Reserved for backward compatibility,,[RFC8446]
0xBD04-0xBDFF,Unassigned,,
0xBE00-0xBE03,Reserved for backward compatibility,,[RFC8446]
0xBE04-0xBEFF,Unassigned,,
0xBF00-0xBF03,Reserved for backward compatibility,,[RFC8446]
0xBF04-0xBFFF,Unassigned,,
0xC000-0xC003,Reserved for backward compatibility,,[RFC8446]
0xC004-0xC0FF,Unassigned,,
0xC100-0xC103,Reserved for backward compatibility,,[RFC8446]
0xC104-0xC1FF,Unassigned,,
0xC200-0xC203,Reserved for backward compatibility,,[RFC8446]
0xC204-0xC2FF,Unassigned,,
0xC300-0xC303,Reserved for backward compatibility,,[RFC8446]
0xC304-0xC3FF,Unassigned,,
0xC400-0xC403,Reserved for backward compatibility,,[RFC8446]
0xC404-0xC4FF,Unassigned,,
0xC500-0xC503,Reserved for backward compatibility,,[RFC8446]
0xC504-0xC5FF,Unassigned,,
0xC600-0xC603,Reserved for backward compatibility,,[RFC8446]
0xC604-0xC6FF,Unassigned,,
0xC700-0xC703,Reserved for backward compatibility,,[RFC8446]
0xC704-0xC7FF,Unassigned,,
0xC800-0xC803,Reserved for backward compatibility,,[RFC8446]
0xC804-0xC8FF,Unassigned,,
0xC900-0xC903,Reserved for backward compatibility,,[RFC8446]
0xC904-0xC9FF,Unassigned,,
0xCA00-0xCA03,Reserved for backward compatibility,,[RFC8446]
0xCA04-0xCAFF,Unassigned,,
0xCB00-0xCB03,Reserved for backward compatibility,,[RFC8446]
0xCB04-0xCBFF,Unassigned,,
0xCC00-0xCC03,Reserved for backward compatibility,,[RFC8446]
0xCC04-0xCCFF,Unassigned,,
0xCD00-0xCD03,Reserved for backward compatibility,,[RFC8446]
0xCD04-0xCDFF,Unassigned,,
0xCE00-0xCE03,Reserved for backward compatibility,,[RFC8446]
0xCE04-0xCEFF,Unassigned,,
0xCF00-0xCF03,Reserved for backward compatibility,,[RFC8446]
0xCF04-0xCFFF,Unassigned,,
0xD000-0xD003,Reserved for backward compatibility,,[RFC8446]
0xD004-0xD0FF,Unassigned,,
0xD100-0xD103,Reserved for backward compatibility,,[RFC8446]
0xD104-0xD1FF,Unassigned,,
0xD200-0xD203,Reserved for backward compatibility,,[RFC8446]
0xD204-0xD2FF,Unassigned,,
0xD300-0xD303,Reserved for backward compatibility,,[RFC8446]
0xD304-0xD3FF,Unassigned,,
0xD400-0xD403,Reserved for backward compatibility,,[RFC8446]
0xD404-0xD4FF,Unassigned,,
0xD500-0xD503,Reserved for backward compatibility,,[RFC8446]
0xD504-0xD5FF,Unassigned,,
0xD600-0xD603,Reserved for backward compatibility,,[RFC8446]
0xD604-0xD6FF,Unassigned,,
0xD700-0xD703,Reserved for backward compatibility,,[RFC8446]
0xD704-0xD7FF,Unassigned,,
0xD800-0xD803,Reserved for backward compatibility,,[RFC8446]
0xD804-0xD8FF,Unassigned,,
0xD900-0xD903,Reserved for backward compatibility,,[RFC8446]
0xD904-0xD9FF,Unassigned,,
0xDA00-0xDA03,Reserved for backward compatibility,,[RFC8446]
0xDA04-0xDAFF,Unassigned,,
0xDB00-0xDB03,Reserved for backward compatibility,,[RFC8446]
0xDB04-0xDBFF,Unassigned,,
0xDC00-0xDC03,Reserved for backward compatibility,,[RFC8446]
0xDC04-0xDCFF,Unassigned,,
0xDD00-0xDD03,Reserved for backward compatibility,,[RFC8446]
0xDD04-0xDDFF,Unassigned,,
0xDE00-0xDE03,Reserved for backward compatibility,,[RFC8446]
0xDE04-0xDEFF,Unassigned,,
0xDF00-0xDF03,Reserved for backward compatibility,,[RFC8446]
0xDF04-0xDFFF,Unassigned,,
0xE000-0xE003,Reserved for backward compatibility,,[RFC8446]
0xE004-0xE0FF,Unassigned,,
0xE100-0xE103,Reserved for backward compatibility,,[RFC8446]
0xE104-0xE1FF,Unassigned,,
0xE200-0xE203,Reserved for backward compatibility,,[RFC8446]
0xE204-0xE2FF,Unassigned,,
0xE300-0xE303,Reserved for backward compatibility,,[RFC8446]
0xE304-0xE3FF,Unassigned,,
0xE400-0xE403,Reserved for backward compatibility,,[RFC8446]
0xE404-0xE4FF,Unassigned,,
0xE500-0xE503,Reserved for backward compatibility,,[RFC8446]
0xE504-0xE5FF,Unassigned,,
0xE600-0xE603,Reserved for backward compatibility,,[RFC8446]
0xE604-0xE6FF,Unassigned,,
0xE700-0xE703,Reserved for backward compatibility,,[RFC8446]
0xE704-0xE7FF,Unassigned,,
0xE800-0xE803,Reserved for backward compatibility,,[RFC8446]
0xE804-0xE8FF,Unassigned,,
0xE900-0xE903,Reserved for backward compatibility,,[RFC8446]
0xE904-0xE9FF,Unassigned,,
0xEA00-0xEA03,Reserved for backward compatibility,,[RFC8446]
0xEA04-0xEAFF,Unassigned,,
0xEB00-0xEB03,Reserved for backward compatibility,,[RFC8446]
0xEB04-0xEBFF,Unassigned,,
0xEC00-0xEC03,Reserved for backward compatibility,,[RFC8446]
0xEC04-0xECFF,Unassigned,,
0xED00-0xED03,Reserved for backward compatibility,,[RFC8446]
0xED04-0xEDFF,Unassigned,,
0xEE00-0xEE03,Reserved for backward compatibility,,[RFC8446]
0xEE04-0xEEFF,Unassigned,,
0xEF00-0xEF03,Reserved for backward compatibility,,[RFC8446]
0xEF04-0xEFFF,Unassigned,,
0xF000-0xF003,Reserved for backward compatibility,,[RFC8446]
0xF004-0xF0FF,Unassigned,,
0xF100-0xF103,Reserved for backward compatibility,,[RFC8446]
0xF104-0xF1FF,Unassigned,,
0xF200-0xF203,Reserved for backward compatibility,,[RFC8446]
0xF204-0xF2FF,Unassigned,,
0xF300-0xF303,Reserved for backward compatibility,,[RFC8446]
0xF304-0xF3FF,Unassigned,,
0xF400-0xF403,Reserved for backward compatibility,,[RFC8446]
0xF404-0xF4FF,Unassigned,,
0xF500-0xF503,Reserved for backward compatibility,,[RFC8446]
0xF504-0xF5FF,Unassigned,,
