Value,Description,Reference,Notes
oic.r.sensor.smoke,Smoke Sensor resource. This resource describes whether smoke has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.56],
oic.r.sensor.threeaxis,Three Axis Sensor resource. This resource provides a representation of the measurement from a three-axis sensor.,[OIC_Resource_Type_Specification_v1.1.0 section 6.57],
oic.r.sensor.touch,Touch Sensor resource. This resource describes whether touch has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.50],
oic.r.sensor.water,Water Sensor resource. This resource describes whether water has been sensed or not.,[OIC_Resource_Type_Specification_v1.1.0 section 6.52],
oic.r.signalstrength,Signal Strength resource. This resource describes the strength of a signal by means of Link Quality Indicator and Received Signal Strength Indicator.,[OIC_Resource_Type_Specification_v1.1.0 section 6.48],
oic.r.speech.tts,Speech Synthesis resource. This resource is capable of rendering speech and allows a client to provide an SSML document with text to render.,[OIC_Resource_Type_Specification_v1.1.0 section 6.49],
oic.r.switch.binary,Binary switch resource.  This resource describes a binary switch (on/off).,[OIC_Resource_Type_Specification_v1.1.0 section 6.4],
oic.r.temperature,Temperature resource. This resource describes a sensed or actuated Temperature value.,[OIC_Resource_Type_Specification_v1.1.0 section 6.21],
oic.r.time.period,Time Period resource. This resource describes the time period over which any additionally provided information is derived or bounded.,[OIC_Resource_Type_Specification_v1.1.0 section 6.22],
oic.r.weight,Weight resource. This resource describes the properties associated with weight of an object.,[OIC_Resource_Type_Specification_v1.1.0 section 6.62],
oma.lwm2m,"OMA LwM2M Resource. This Resource type indicates that the resource and all of its sub-resources support the OMA Lightweight M2M protocol, i.e. contain OMA LwM2M objects and resources.",[OMA-TS-LightweightM2M-V1_0],
bbf.usp.endpoint,Endpoint of the Broadband Forum USP protocol,[https://usp.technology/specification/mtp/coap/],
oic.wk.col,Collection resource.,[OCF_Core_Specification_v1.0.0 section D.2],
oic.wk.con,Device Configuration resource.,[OCF_Core_Specification_v1.0.0 section D.3],
oic.wk.con.p,Platform Configuration resource.,[OCF_Core_Specification_v1.0.0 section D.4],
oic.wk.d,Device resource.,[OCF_Core_Specification_v1.0.0 section D.5],
oic.wk.mnt,Maintenance resource.,[OCF_Core_Specification_v1.0.0 section D.6],
oic.wk.p,Platform resource.,[OCF_Core_Specification_v1.0.0 section D.7],
oic.wk.res,Discoverable Resources resource.,[OCF_Core_Specification_v1.0.0 section D.9],
oic.wk.scenelist,Scene List resource.,[OCF_Core_Specification_v1.0.0 section D.11],
oic.wk.scenecollection,Scene Member Collection resource.,[OCF_Core_Specification_v1.0.0 section D.12],
oic.wk.scenemember,Scene Member resource.,[OCF_Core_Specification_v1.0.0 section D.13],
oic.wk.rd,Resource Directory resource.,[OCF_Core_Specification_v1.0.0 section D.14],
oic.r.icon,Icon resource.,[OCF_Core_Specification_v1.0.0 section D.15],
oic.wk.introspection,Introspection resource.,[OCF_Core_Specification_v1.0.0 section D.16],
oic.r.airquality,Air Quality resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.65],
oic.r.airqualitycollection,Air Quality Collection resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.66],
oic.r.consumable,Consumable resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.67],
oic.r.consumablecollection,Consumable Collection resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.68],
oic.r.delaydefrost,Delay Defrost resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.69],
oic.r.ecomode,Ecomode resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.70],
oic.r.heatingzone,Heating Zone resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.71],
oic.r.heatingzonecollection,Heating Zone Collection resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.72],
oic.r.mediasourcelist,Media Source List resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.43],
oic.r.media.input,Input Media Source List resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.44],
oic.r.media.output,Output Media Source List resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.45],
oic.r.movement.ptz,Physical Pan Tilt Zoom resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.49],
oic.r.image.ptz,Image Pan Tilt Zoom resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.49],
oic.r.selectablelevels,Selectable Levels resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.73],
oic.r.value.conditional,Value Conditional resource.,[OCF_ResourceType_Specification_v1.0.0 section 6.74],
oic.d.airqualitymonitor,Air Quality Monitor device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.washerdryer,Washer Dryer (Laundry) device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.cookerhood,Cooker Hood device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.cooktop,Cooktop device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.dehumidifier,Dehumidifier device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.freezer,Freezer device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.foodprobe,Food Probe device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.humidifier,Humidifier device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.d.stb,Set Top Box device,[OCF_SmartHome_Device_Specification_v1.0.0 section 9.1],
oic.wk.nmon,Network Monitoring resource.,[OCF_Core_Specification_v2.0.1 section D.16],
oic.wk.atomicmeasurement,Atomic Measurement resource.,[OCF_Core_Specification_v2.0.1 section D.17],
oic.d.bridge,Bridge device.,[OCF_Bridging_Specification_v2.0.1 section 8],
oic.d.virtual,Virtual device.,[OCF_Bridging_Specification_v2.0.1 section 8],
oic.r.securemode,Secure Mode resource.,[OCF_Bridging_Specification_v2.0.1 section 9.2],
oic.r.alljoynobject,Alljoyn Object resource.,[OCF_Bridging_Specification_v2.0.1 section 9.3],
oic.r.easysetup,Easy Setup resource.,[OCF_Core_Specification_Extension_Wi-Fi_Easy_Setup_v2.0.1 section A.2],
oic.r.wificonf,Wi-Fi Configuration resource.,[OCF_Core_Specification_Extension_Wi-Fi_Easy_Setup_v2.0.1 section A.3],
oic.r.devconf,Device Configuration resource.,[OCF_Core_Specification_Extension_Wi-Fi_Easy_Setup_v2.0.1 section A.4],
oic.r.coapcloudconf,CoAP Cloud Configuration.,[OCF_Core_Specification_Extension_CoAP_Native_Cloud_v2.0.1 section A.2],
oic.r.colour.csc,Colour Space Coordinates resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.75],
oic.r.colour.colourtemperature,Colour Temperature resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.76],
oic.r.colour.hs,Colour Hue Saturation resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.77],
oic.r.batterymaterial,Battery Material resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.78],
oic.r.brewing,Brewing resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.79],
oic.r.energy.electrical,Electrical Energy resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.80],
oic.r.energy.generation,Energy Generation resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.81],
oic.r.foaming,Foaming resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.82],
oic.r.grinder,Grinder resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.83],
oic.r.liquid.level,Liquid Level resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.84],
oic.r.vehicle.connector,Electric Vehicle Connector resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.85],
oic.r.time.stamp,Time Stamp resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.86],
oic.r.printer.3d,3D Printer resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.87],
oic.r.blood.pressure,Blood Pressure resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.88],
oic.r.bloodpressuremonitor-am,Blood Pressure Monitor Atomic Measurement resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.89],
oic.r.bmi,Body Mass Index (BMI) resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.90],
oic.r.body.fat,Body Fat resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.91],
oic.r.body.ffm,Body Fat Free Mass resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.92],
oic.r.body.location,Body Location resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.93],
oic.r.body.location.temperature,Body Location Temperature resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.94],
oic.r.bodyscale-am,Body Scale Atomic Measurement resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.95],
oic.r.body.slm,Body Soft Lean Mass resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.96],
oic.r.bodythermometer-am,Body Thermometer Atomic Measurement resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.97],
oic.r.body.water,Body Water resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.98],
oic.r.glucose,Glucose resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.99],
oic.r.glucose.carb,Glucose Meter Complex Carbohydrates resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.100],
oic.r.glucose.exercise,Glucose Meter Exercise resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.101],
oic.r.glucose.hba1c,Glucose Meter HbA1c resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.102],
oic.r.glucose.health,Glucose Meter Context Health resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.103],
oic.r.glucose.meal,Glucose Meter Context Meal resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.104],
oic.r.glucose.medication,Glucose Meter Context Medication resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.105],
oic.r.glucosemeter-am,Glucose Meter Atomic Measurement resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.106],
oic.r.glucose.samplelocation,Glucose Meter Context Sample Location resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.107],
oic.r.glucose.tester,Glucose Meter Context Tester resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.108],
oic.r.orfid.station,Optical RFID Station resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.109],
oic.r.orfid.tag,Optical RFID Tag resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.110],
oic.r.powersource,Power Source resource,[OCF_Resource_Type_Specification_v2.0.1 section 6.111],
oic.r.printer.queue,Print Queue resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.112],
oic.r.pulserate,Pulse Rate resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.113],
oic.r.sensor.props,Sensor Properties resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.114],
oic.r.userid,User ID resource.,[OCF_Resource_Type_Specification_v2.0.1 section 6.115],
oic.d.waterheater,Water Heater device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.furnace,Furnace device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.pump,Pump device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.condensingunit,Condensing Unit device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.condenser,Condenser device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.hvac,HVAC device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.lightingcontrol,Lighting Controls device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.icemachine,Ice Machine device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.range,Range device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.steamcloset,Steam Closet device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.audiosystem,Audio System device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.avplayer,AV Player device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.desktoppc,Desktop PC device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.notebookpc,Notebook PC device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.server,Server device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.pc,Computer device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.datastorageunit,Data Storage Unit device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.display,Display device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.portableelectronics,Portable Electronics device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.gameconsole,Game Console device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.3dprinter,3D Printer device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.musicalinstrument,Musical Instrument device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.networking,Networking Equipment device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.handset,Handset device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.telephonydevice,Telephony device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.speaker,Active Speaker device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.smallelectrical,Electronics device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.aircompressor,Air Compressor device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.bathroomdevice,Bathroom General device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.batterycharger,Battery Charger device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.businessequipment,Business Equipment device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.portablestove,Portable Stove device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.exercisemachine,Exercise Machine device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.hvacportable,Portable HVAC device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.orfid,Optical Augmented RFID Reader device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.coffeemachine,Coffee Machine device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.grinder,Grinder device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.kettle,Kettle device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.lightdecorative,Decorative Lighting device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.lightemergency,Emergency Lighting device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.microwave,Microwave Oven device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.vendingmachine,Vending Machine device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.waterdispenser,Water Dispenser device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.battery,Battery device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.window,Window device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.fireplace,Fireplace device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.energygenerator,Energy Generator device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.electricmeter,Electric Meter device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.electricvehiclecharger,Electric Vehicle Charger device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.fitnessdevice,Fitness device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.bloodpressuremonitor,Blood Pressure Monitor device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.bodythermometer,Body Thermometer device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.medicaldevice,Media device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.glucosemeter,Glucose Meter device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.bodyscale,Body Scale device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.personalhealthdevice,Personal Health device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.d.unknown,Other device.,[OCF_Device_Specification_v2.0.1 section A.2],
oic.r.doxm,Device Owner Transfer resource,[OCF_Security_Specification_v2.0.1 section 13.1],
oic.r.cred,Credential resource,[OCF_Security_Specification_v2.0.1 section 13.2],
oic.r.crl,Certificate Revocation List resource,[OCF_Security_Specification_v2.0.1 section 13.3],
oic.r.acl,Access Control List resource,[OCF_Security_Specification_v2.0.1 section 13.4],
oic.r.acl2,Access Control List 2 resource,[OCF_Security_Specification_v2.0.1 section 13.4],
oic.r.amacl,Access Manager ACL resource,[OCF_Security_Specification_v2.0.1 section 13.5],
oic.r.sacl,Signed ACL resource,[OCF_Security_Specification_v2.0.1 section 13.6],
oic.r.pstat,Provisioning Status resource,[OCF_Security_Specification_v2.0.1 section 13.7],
oic.r.csr,Certificate Signing Request resource,[OCF_Security_Specification_v2.0.1 section 13.8],
oic.r.roles,Roles resource,[OCF_Security_Specification_v2.0.1 section 13.9],
oic.r.account,Account resource,[OCF_Security_Specification_v2.0.1 section 13.10],
oic.r.session,Account Session resource,[OCF_Security_Specification_v2.0.1 section 13.11],
oic.r.tokenrefresh,Account Token Refresh resource,[OCF_Security_Specification_v2.0.1 section 13.12],
fa.cs,Resource type for the Fairhair common services,[Fairhair Alliance specification section 5.2.2],
fa.rd-conf,Resource type for the Fairhair resource that configures and manages information about RDs on FA devices,[Fairhair Alliance specification section 4.6.1.4],
