Client Metadata Name,Client Metadata Description,Change Controller,Reference
initiate_login_uri,URI using the https scheme that a third party can use to initiate a login by the RP,[OpenID_Foundation_Artifact_Binding_Working_Group],[OpenID Connect Dynamic Client Registration 1.0 incorporating errata set 2]
request_uris,Array of request_uri values that are pre-registered by the RP for use at the OP,[OpenID_Foundation_Artifact_Binding_Working_Group],[OpenID Connect Dynamic Client Registration 1.0 incorporating errata set 2]
claims_redirect_uris,claims redirection endpoints,[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 2]"
nfv_token_signed_response_alg,JWS alg algorithm required for signing the nfv Token issued to this Client,[ETSI],[ETSI GS NFV-SEC 022 V2.7.1]
nfv_token_encrypted_response_alg,JWE alg algorithm required for encrypting the nfv Token issued to this Client,[ETSI],[ETSI GS NFV-SEC 022 V2.7.1]
nfv_token_encrypted_response_enc,JWE enc algorithm required for encrypting the nfv Token issued to this Client,[ETSI],[ETSI GS NFV-SEC 022 V2.7.1]
tls_client_certificate_bound_access_tokens,"Indicates the client's intention to
        use mutual-TLS client certificate-bound access tokens.",[IESG],"[RFC8705, Section 3.4]"
tls_client_auth_subject_dn,"String value specifying the expected
        subject DN of the client certificate.",[IESG],"[RFC8705, Section 2.1.2]"
tls_client_auth_san_dns,"String value specifying the expected
        dNSName SAN entry in the client certificate.",[IESG],"[RFC8705, Section 2.1.2]"
tls_client_auth_san_uri,"String value specifying the expected
        uniformResourceIdentifier SAN entry in the client certificate.",[IESG],"[RFC8705, Section 2.1.2]"
tls_client_auth_san_ip,"String value specifying the expected
        iPAddress SAN entry in the client certificate.",[IESG],"[RFC8705, Section 2.1.2]"
tls_client_auth_san_email,"String value specifying the expected
        rfc822Name SAN entry in the client certificate.",[IESG],"[RFC8705, Section 2.1.2]"
require_signed_request_object,"Indicates where authorization request needs
        to be protected as Request Object and provided through either
        ""request"" or ""request_uri parameter"".",[IETF],"[RFC-ietf-oauth-jwsreq-34, Section 10.5]"
