Number,Organization,Contact Information
406,"University of Hawaii, Information Technology Services",[Yul_Pyun]
407,Tomlynn.com,[Thomas_Lynn]
408,Kinetic Compute Services,[Gerard_Hickey]
409,"Central Call, Edificio ICAT, Campus da Faculdade de Ciências",[Paulo_Soares]
410,"Universal Telecom, Inc.",[Stephen_Roderick]
411,myWowTech.com,[Albert_Gibosse]
412,"Universidad de El Salvador, Oficinas Centrales",[Eric_Lopez]
413,"Ariadne Internet Services, Inc.",[Dale_R_Worley]
414,R&B IP Consulting Services Srl,[Luca_Brizzi]
415,Firma Tardell,[Jacob_Tardell]
416,ICANN,[Kim_Davies]
417,Internet Assigned Numbers Authority,[Kim_Davies]
418,msgTech,[Matthew_Gast]
419,"VOIPjunction, Inc.",[Abhik_Biswas]
420,Core Telecom Innovations Inc.,[Jim_Van_Meggelen]
421,"SIPfoundry Inc., sipXecs project",[Scott_Lawrence]
422,Suspicious dot Org Network Community,[Truman_Boyes]
423,"Atarack Communications, Inc.",[Nick_Devito]
424,Norstar Computing Services,[Robert_Healey]
425,Sheldon Networks Inc. (dba: ACT USA),[Stuart_Sheldon]
426,iptelorg GmbH,[Nils_Ohlmeier]
427,INRIA,[Philippe_Sultan]
428,Calivia GmbH,[Martin_Steinmann]
429,Cascade Telephony Inc,[Jason_Sjobeck_2]
430,SKRB.org,[Scott_Lawrence_2]
431,Prophecy Networks,[Mark_Henson]
432,Deepdive Technologies,[Mike_McGowan]
433,"Code No Evil, LLC",[David_B_Bitton]
434,SolS e Solsuni,[Paulo_Fernandes]
435,BarNetwork Pty Limited,[Edwin_Groothuis]
436,CASPUR,[Maurizio_Goretti]
437,CRS/DF a.s.,[Martin_Dvorak]
438,"Lodden Services, LLC",[John_Lodden]
439,VoiceWorks Sp. z o.o.,[Michal_Bielicki]
440,"Netellectuals, LLC.",[Herbert_Pinder_Jr]
441,"Universidad Técnica Particular de Loja, Grupo de Telecomunicaciones",[Pablo_Toapanta_Silverio]
442,Open Sky Media,[Jason_Shultz]
443,coming.dk,[Sune_Kloppenborg_Jeppesen]
444,Audenard,[Jean_Francois_Audenard]
445,GNUconsulting.com,[David_Bishop]
446,American Society for Engineering Education,[Sean_Stickle]
447,Frutili S.L.,[Stanimir_Totev]
448,The Software Freedom Law Center,[Bradley_M_Kuhn]
449,Jessie Bryan,[Jessie_Bryan]
450,WestGroup Research,[Carlos_Alvarez]
451,Technology At Work,[Jay_Lemmons]
452,EcoPlan Associates,[Moriah_Trostler]
453,Carlos Alvarez Consulting,[Carlos_Alvarez_2]
454,The District of North Vancouver,[Anthony_Rodgers]
455,Itaki Networks,[Kris_Sheets]
456,Logivox Systems,[Terry_Wilson]
457,"Neeba, Inc.",[Stephen_Hsieh]
458,Brigham Young University,[Lincoln_Le_Sueur]
459,Metroplex Control Systems,[Neal_Horman]
460,"LeifMadsen Enterprises, Inc.",[Leif_Madsen]
461,Viagenie,[Marc_Blanchet]
462,G. Kloepfer,[Gil_Kloepfer]
463,"Cornell University, Cornell Information Technologies",[Paul_Viscuso]
464,"IFWORLD, Inc.",[Scott_Mills]
465,Tradewinds Partnership,[Michelle_Affinito]
466,IP6net Ltd,[David_Davies]
467,Wiznet,[Calvin_Wisser]
468,"All Technologies Unlimited, Inc",[Mike_Dewey]
469,Hume Consulting Inc.,[Ron_Hume]
470,Noltech,[Michael_Nolte]
471,ParseTree Corporation,[Steve_Murphy]
472,GDVVC Inc.,[Keith_A_Galloway]
473,DeBusschere Telephony Group,[Mark_DeBusschere]
474,Farooq Iqbal,[Farooq_Iqbal]
475,EFC International,[Doug_Adams]
476,"IdeaTek Systems, Inc.",[Jason_Haltom]
477,Asgaard Holdings,[Chris_Liljenstolpe]
478,Sun Sonic Inc.,[Ross_Benner]
479,H. Strang,[Hannu_Strang]
480,Adobe Systems Incorporated,[Mark_Varni]
481,KCPBX.com,[Richard_Roberts]
482,"Hosto & Buchan, P.L.L.C.",[Chuck_Buchan]
483,Nexcom Telecommunications,[Hristo_Trendev]
484,"TransNexus, Inc.",[Jim_Dalton]
485,Aeria Networks NOC,[Cody_William_Appleby]
486,DevilRay,[Nabil_Sacha_El_Masry]
487,"Calcucare, Inc.",[Andrew_Roberts]
488,VoicePulse Inc.,[Ravi_Sakaria]
489,Revlink Internet Services Inc.,[Ronaldo_Chan]
490,ORiley.Net,[Carlton_O_Riley]
491,GRNET S.A.,[GRNET_NOC]
492,"Alexander Technological Educational Institute of Thessaloniki, Department of Information Technology",[Poppis_Evangelos]
493,FrostNet,[Christopher_Frost]
494,"Bay Star Communications, Inc.",[George_Woodgate]
495,Four Batons Technology,[Johnathan_Mayo]
496,Voxbone SA,[Rodrigue_Ullens]
497,NerdBox.Net,[Steve_VanDeBogart]
498,"Awesome Paging, Inc.",[Frank_Garcia]
499,AwesomeNet,[Frank_Garcia]
500,AwesomeTelenet,[Frank_Garcia]
501,NextScribe,[Aquinas_Woodworth]
502,Digitronix,[Jimmy_Godbout]
503,TruPhone.com,[Ed_Guy_3]
504,AllEqual Foundation,[Thomas_Maketa]
505,GNET,[George_Sigalas]
506,LostLink.Net,[Nuno_Souto]
507,Atriwan Sarl,[Marc_Dovero]
508,Teleware Oy / Teleware Ltd,[Toni_Heinonen]
509,Telonet,[Simon_Littler]
510,The Peters,[Mark_Peters]
511,Lanwork,[Dejan_Mijailovic]
512,AwayPhone Limited,[Anand_Kumria]
513,Nubi Internet Telefonie / Evalve.be,[Filipe_Spencer_Lopes_dos_Santos]
514,Fics Pro Soft,[Alexandru_Ruse]
515,Galvanix,[Jim_Radford]
516,Vision One Technologies,[Craig_Milam]
517,"Creative Thought, Inc.",[Max_Clark]
518,Tri-State Emergency Communications Consortium,[Vincent_Caruso]
519,"Tech Holdings, LLC",[Andy_Ellifson]
520,Net-Work Internet Ltd,[David_Dean]
521,Baehr Associates,[Geoffrey_Baehr]
522,Unfix,[Jeroen_Massar]
523,IP Centrex Limited,[James_Bulman]
524,"Interlocking Business Solutions, LLC",[David_Cantera]
525,zeet.net,[Keith_Jewell]
526,VoIP-4U Limited t/a VoIP.co.uk,[Theo_Zourzouvillys]
527,Ektron Ltd.,[Nelson_Naranjo]
528,Microcost SAS,[Sam_Johnston]
529,Miami County ESC,[John_Hermes]
530,Grey Matter Methods Ltd,[Fred_Johnston]
531,Trinity College,[Bryan_Adams]
532,"Keldrake Software, Inc.",[Aaron_Poffenberger]
533,"Wayne State University, Computing and Information Technology",[Matthew_Lessins]
534,Nortel,[Chris_Parfitt]
535,ML-Pro Handels GesmbH,[Mario_Ivanov]
536,Megabytes Tech llc,[Thom_Sharbaugh]
537,Benjamin Gross,[Benjamin_Gross]
538,Oralnet Ltd,[Adam_Linford]
539,Jon Radel,[Jon_Radel]
540,"Caller App, Inc.",[Brad_Templeton]
541,Idle Pattern Communications,[Omachonu_Ogali]
542,4th Wave,[John_Latta]
543,FreeSWITCH.org,[Brian_West_2]
544,CTO Xerpent,[Juergen_Fey]
545,Vantage Communications,[Jon_Radel_2]
546,"ADTRAN, Inc.",[Scott_Dendy]
547,iNetPod Corporation,[Albert_Graham]
548,Codemecca LLC,[Jay_Phillips]
549,Murdock Telephone,[Michael_Murdock]
550,"Wavelength Communications, Inc.",[Daniel_Corbe_2]
551,IdleAire Technologies Corporation,[Greg_Stooksberry]
552,Amelco-Beltron LLC,[Mario_J_Fachler]
553,Unassigned (Removed 2007-04-11),
554,Unassigned (Removed 2007-04-11),
555,HULALA,[Hulala]
556,Unassigned (Removed 2007-03-27),
557,Midlo,[Jim_Bates]
558,YeowZaa Corp,[Scott_Brown]
559,Rock River Internet,[Tom_Harker]
560,bkw.org,[Brian_West]
561,Integrated Technologies & MicroScott,[Scott_Brown_2]
562,"Altaphon, Inc.",[David_Josephson]
563,RUMODIGITAL,[Douglas_Adami]
564,Art & Soft Ltda.,[Edson_Barbosa_Duarte]
565,SECNet - SouthEast Communication Network,[Mike_Lampard]
566,Serendipity Simplex,[Robert_Stone]
567,Connection Software,[John_Coll]
568,Network Solutions (Aust) Pty Ltd,[Thomas_Grice]
569,Cosun Limited,[John_Hein]
570,Torftech Group,[Chris_Dodson]
571,Daniel Scott Matthews,[Daniel_Scott_Matthews]
572,Simmons College,[David_Bruce]
573,William A Huttig,[William_A_Huttig]
574,ioko,[Liz_Frost]
575,Visual Information Systems Ltd.,[Dyrol_Calame]
576,Jeremiahs International Inc.,[Keevy_McAlavy]
577,Computer Supplies Sandstone Point P/L,[Emmett_Hanrahan]
578,Armagh Observatory,[Martin_Murphy]
579,"Systemix Software, Inc.",[Brian_Cuthie]
580,Newline,[Steve_Edwards]
581,Netmasters,[Michael_Petry]
582,Manchester Metropolitan University,[Jerry_Niman]
583,Amazing Goods LLC,[David_Brodess]
584,"Monarch Hydraulics, Inc.",[Robert_Paul_Schroeder]
585,OntheCosta,[Rachel_Clark]
586,McDonald Networks,[Jim_McDonald]
587,myKP Pty Ltd,[Kelly_Miles]
588,Flight Training Innovations,[Bradley_Marsh]
589,Brads Flying Circus,[Bradley_Marsh]
590,GHC Services,[Jeff_Parrish]
591,"Coventry University Enterprises Ltd, The TechnoCentre",[David_Boyton]
592,qrmedia,[Andrew_Phillips]
593,ARC AB,[Olle_Alexandersson]
594,ForLinux,[Steve_Nice]
595,NIMTUG,[Damien_McGivern]
596,"Northern Michigan University, AdIT Technical Services",[Don_Salo]
597,Lavolta Consulting,[Bob_Driscoll]
598,"Mytelusa, Inc",[Charles_E_Jolly]
599,EntoTech Consulting,[Laetitia_Laine]
600,Virtek Limited,[Phil_Allsopp]
601,Productions NicChap Productions,[Nicolas_Chapleau]
602,Holly Connects,[Nathan_Clark]
603,"Institute of Information Technology (IIT), University of Dhaka",[Z_H_Jewel]
604,hbctech.com,[Charles_E_Jolly]
605,Photronik,[Lars_Ljungdahl]
606,"Arno, Inc.",[Craig_Arno]
607,Northern Illinois University,[Cindy_J_Phillips]
608,Rebel Hosting,[Mohammad_Rafique]
609,VoIP User,[Tjardick_van_der_Kraan]
610,bseen.co.uk,[James_Brodie]
611,Pacific Research Pty Ltd,[Andrew_Waterhouse]
612,Comcast Corporation,[John_Leddy]
613,PBXMobile,[Victor_E_Salazar_Soto]
614,Sisusang,[Don_Salo_2]
615,Aaron Huslage,[Aaron_Huslage]
616,UMBC,[Mark_Cather]
617,SURFnet bv,[Erik_Dobbelsteijn]
618,Hornby Island Outdoor Sports,[Jeremy_Payne]
619,NIXXIS Group,[Tjardick_van_der_Kraan_2]
620,"Lightspeed Technologies, Inc.",[Jesse_Hindmarsh]
621,University of Hull,[Alex_Sharaz]
622,Minotaur I.T. Limited,[Chris_Bagnall]
623,The Inner Net,[Network_Operations]
624,HULALA,[Hulala]
625,Unassigned (Removed 2007-05-23),
626,sabotageclothing.co.uk,[Stuart_Finlayson]
627,Wesource IT & Healthcare Services Pvt. Ltd.,[Inder_Pal_Singh]
628,"OfficeTone, LLC",[Travis_Cross]
629,rimspace,[Daniel_Pittman]
630,"Walk On Wire, Inc.",[Matt_Alvord]
631,Eric Loyd,[Eric_Loyd]
632,Connection Telecom (Pty) Ltd,[Stephen_Davies]
633,Maila Networks,[Jean_Franco]
634,Bitnetix Technology Consulting,[Eric_Loyd_2]
635,"daxm, Inc.",[Dax_Mickelson]
636,Hindmarsh Computer Consulting,[Jesse_Hindmarsh_2]
637,Nododo Limited,[Brian_Buckman]
638,Association Saitis,[Francois_Deppierraz]
639,Cepheide.Org,[Hellekin_O_Wolf]
640,Camptocamp SA,[Francois_Deppierraz_2]
641,Tabbagong,[Brad_Thompson]
642,EVOK Computer Systems,[Salvatore_Suarato]
643,Hansard Global plc,[Ed_Aguilar]
644,Joshua Colp,[Joshua_Colp]
645,IPSAFARI INC. (ipsafari.net),[Charles_Mutunga]
646,IPSAFARI INC. (ipsafari.com),[Charles_Mutunga]
647,"Beyond Graphics, LLC",[Genefson_Silveira]
648,"J2D3, LLC",[John_Durkin]
649,Jalasutram Inc.,[Murali_Jalasutram]
650,2FP,[Christophe_Le_Bars]
651,Salmantine Trading c.c.,[Jason_Berry]
652,Wayga Consulting Services,[Mark_Komarinski]
653,"Markquest Technologies, Inc., Yinlong Industry Center",[Richard_Cheng]
654,"University of Porto, Faculty of Engineering/Faculdade de Engenharia da Universidade do Porto",[Joao_Carvalho]
655,Solution IP Communications Limited,[Tim_Pereira]
656,Osiatis,[Julien_Reveret]
657,MALAIWAH.COM,[Michel_Belleau]
658,OMNITRONIK Solutions inc.,[Michel_Belleau_2]
659,University of Massachusetts Amherst,[Christopher_Misra]
660,Qantom Software Private Limited,[Raghu_Venkataramana]
661,"Lyceum of Santa Clara Valley, Inc.",[Sharad_Ahlawat]
662,Faculdade de Ciências da Nutrição e,[Rui_Chilro]
663,CCDRN,[Nuno_Biltes]
664,ENERGAIA - Agência Municipal de Energia,[Alexandre_Ferreira]
665,Cosini Technologies,[Markku_Korpi]
666,Callis & Associates,[Kim_Callis]
667,Top Translation Studio Traduzioni,[Annarita_Busato]
668,Fundação Casa da Música,[Nuno_Guedes]
669,"Planet Bazaar, Inc.",[Vijay_Aswadhati]
670,Cyber Collaboration,[Chad_Walter]
671,Homebase,[Homebase_administrators]
672,"Steadman Enterprises, Inc.",[Scott_Steadman]
673,Malcolm Media,[Jeremy_Malcolm]
674,Brothers Family,[Matthew_Brothers]
675,"Level 3 Solutions, LLC",[Seth_Hoffman]
676,"Cavalier Broadband, LLC",[Anthony_Graziano]
677,Zims Communications,[Mark_Zimmerman]
678,"Support Intelligence, LLC",[Rick_Wesson]
679,Resmo,[Randolph_Resnick]
680,VOIP Users Conference,[Randolph_Resnick_2]
681,"ELMIT Co, Ltd.",[Ronald_Wiplinger]
682,ColorStars Inc.,[Ronald_Wiplinger_2]
683,NuFone Inc.,[Jeremy_McNamara]
684,VistaNet Communications,[Juan_R_Centeno]
685,vavoip.com,[John_Millican]
686,Messinet Secure Services,[Anthony_Messina]
687,"Anteil, Inc.",[Jim_Capp]
688,Keystone Intra-Internet Exchange,[Jim_Capp]
689,Siperoo Pty Ltd,[William_Tan]
690,S.P.E.Sistemi e Progetti Elettronici s.a.s.,[Paolo_Prandini]
691,Siptech Services Limited,[Brian_Mulligan]
692,"Zingo Telecom, Inc.",[Raymond_Chandler]
693,"John M Stec, Attorney at Law",[John_Stec]
694,Global Online Electronic Services,[Norman_Brandinger]
695,GOES Telecom,[Norman_Brandinger_2]
696,K. Fife,[Karl_Fife_2]
697,Chicago Venture Partners,[Karl_Fife]
698,gxr.org,[Peter_Novotny]
699,Graphic Products Inc,[Dave_Smart]
700,EXSIR Communications,[AFShin_A_Seysan]
701,Wiplinger,[Ronald_Wiplinger]
702,ELMIT Net,[Ronald_Wiplinger]
703,Trace International,[Ronald_Wiplinger]
704,Pale Purple Limited,[David_Goodwin]
705,Frank Wilson,[Frank_Wilson]
706,Martin Zulu,[Martin_Zulu]
707,Jerry Hosenbach,[Jerry_Hosenbach]
708,HiTech Innovations Inc.,[Jay_Taylor]
709,"Barberry Hill Ventures, LLC",[Chad_Laurans]
710,"PodGlo Enterprises, Inc.",[Douglas_Kersten]
711,voipGATE S.A.,[Marc_Storck]
712,RF.COM - RingFree Mobility Inc.,[Network_Operations_2]
713,Nemeroff Telecommunications,[Brett_Nemeroff]
714,cavein.org,[Richard_Nelson]
715,Three Wise Men Inc.,[Steven_Vetzal]
716,TYI Systems Ltd.,[Joseph_Hsu]
717,Entanet International Ltd,[Jon_Farmer]
718,The Bearne Family,[Paul_Bearne]
719,01edge technologies,[Chandra_Nath]
720,Agricultural Innovations Inc.,[Frank_Aragona]
721,eFaber Soluciones Inteligentes S.L.,[Svet_Ivantchev]
722,David Alley,[David_Alley]
723,Peace International,[David_Alley]
724,IT-guide dr. Jones,[Jonas_Smedegaard]
725,USPIS-TSD,[Bradley_Leonard]
726,"VBX Communications (Pty) Ltd, trading as VBX Telecom",[Peter_Retief]
727,Freenum,[John_Todd_2]
728,Ecostar Communication Technologies,[Shaikh_Basha]
729,"Turner, Inc",[Jonas_Longfellow]
730,Community Computing,[Bill_Reid_2]
731,Bvm Consulting,[Romulo_Bittencourt]
732,Nie Consulting,[Wayde_Nie]
733,Thedden Communications,[Jonathan_Cohen_2]
734,logan.com,[Rob_Logan]
735,netVOICE communications,[George_Pajari]
736,"Rich-ads Co., Ltd.",[Ronald_Wiplinger]
737,"3GNTW - Tecnologias de Informação, Lda",[Sergio_Araujo]
738,trilu consulting ltd.,[Hans_Hase]
739,Fiery Moon,[Peter_Grace]
740,Astron Associates SA,[Blaise_Drayer]
741,IntraLanMan Inc.,[Raymond_Chandler_2]
742,Carrier Technologies,[Jeremy_Carrier]
743,Intellectics GesmbH,[Pekka_Kurki]
744,Roman Vithous,[Roman_Vithous]
745,Ben Teitelbaum,[Ben_Teitelbaum]
746,Thwameva Technologies Pvt. Ltd.,[Raghu_Venkataramana_2]
747,SIPphone Inc.,[Adrian_Torres]
748,Sweni Tech,[Peter_Retief_2]
749,Randall Bollig,[Randall_Bollig]
750,Wiplinger Consulting,[Ronald_Wiplinger]
751,eBrain ~ Innovative Internet Ideas,[Pallieter_Koopmans]
752,TBNR Cons Inc.,[Yiannis_Konstantinou]
753,Tasix GmbH,[Simon_Greter]
754,Stargate Networking,[Leander_Janssen]
755,Sean Sheedy Consulting,[Sean_Sheedy]
756,Amernet,[Ronald_Rebideau]
757,John Thompson,[John_Thompson]
758,Kotokusystems,[Jonathan_Quartey]
759,"Advanced AT, llc",[Bas_Evers]
760,Orbitage Sdn Bhd,[Paul_Mather]
761,Haar,[Julius_Schwartzenberg]
762,"First South Colonial, LLC",[William_Dameron]
763,Alertsms.ch,[SCHALLER_Cedric]
764,Ricardo Diaz,[Ricardo_Diaz]
765,FDT,[F_Detal]
766,Phone-Gateway.Com,[Alex_Nemirovsky]
767,Quetz Limited,[Keith_Brazington]
768,Directionless,[Joseph_Sokol_Margolis]
769,Auburn Quad,[Joseph_Sokol_Margolis_2]
770,EquiVox Inc.,[Adeel_Nazir]
771,Mark Hewitt,[Mark_Hewitt]
772,Progressive Systems Inc.,[Marc_Farrant]
773,InfoGraph Ltd.,[Agis_Tsakmakis]
774,YCOM S.A.,[Alexandre_Ghisoli]
775,Albedo S.r.l.,[Flavio_Cappello]
776,Intelivox,[Chris_Maxwell]
777,HULALA,[Hulala]
778,Ana E. Walker,[Ana_E_Walker]
779,Peter M. Bezak,[Peter_M_Bezak]
780,www.ixwavesystems.com,[Edward_Ting]
781,ScratchSpace Inc.,[Chris_Miller]
782,A. Green,[A_Green]
783,Université de Haute-Alsace,[Marc_Gilg]
784,Spill,[Christophe_Le_Bars_2]
785,"Computer Networks Laboratory, Technical University of Kosice",[Jozef_Janitor]
786,Symmetry Solutions Inc.,[Asaf_Rapoport]
787,INTERSOL SRL,[Sorin_Sbarnea]
788,Dr. Aharon Friedman,[Aharon_Friedman]
789,Matthew Copsey Spring,[Matthew_Copsey_Spring]
790,"Cohutta.Com, Inc.",[John_Mullinix]
791,Digital Techniques (Asia) Limited,[Rupert_Utteridge]
792,Treatment Systems,[J_v_Preussen]
793,Veterinary Networks,[Steve_Kinneally]
794,mintel.net,[Glen_Hitze]
795,i2Telecom.com,[ISN_Support]
796,GREATIAM.COM,[Samuel_Abekah_Mensah]
797,Michael Dodds,[Michael_Dodds]
798,"IP Crossing (Thailand) Co.,Ltd.",[Dome_Charoenyost]
799,Bryant University,[Richard_Siedzik]
800,Fonoempresa,[Juan_Jose_Portela_Zardetto]
801,Paul Fether,[Paul_Fether]
802,Josh E Weber,[Josh_E_Weber]
803,Michael T Webb,[Michael_T_Webb]
804,Mark Konsher,[Mark_Konsher]
805,Wallyblossdotcom,[Wally_Bloss]
806,Quobis Networks SLU,[Elias_Perez_Carrera]
807,"101 Global Co.,Ltd.",[Dome_Charoenyost_2]
808,BN Associates LLC,[Brad_Nicholas]
809,LookC AB,[Gerard_Manley]
810,Voiceriver Inc,[Jeff_Knighton]
811,Forest Star Networks,[Danny_Froberg]
812,"Ovention, LLC",[James_A_Rothenberger]
813,2Unify LLC,[James_A_Rothenberger_2]
814,"NextGenData, Inc.",[James_A_Rothenberger_3]
815,oneBIZTONE LLC,[James_A_Rothenberger_4]
