Error-Type,Meaning,Error-value,Reference
,,4: The PCE cannot satisfy the request due to inconsistent END-POINTS,[RFC6006]
,,5-255: Unassigned,
18,P2MP Fragmentation Error,0: Unassigned,[RFC6006]
,,1: Fragmented request failure,[RFC6006]
,,2-255: Unassigned,
19,"Invalid Operation (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",0: Unassigned,[draft-ietf-pce-stateful-pce]
,,"1: Attempted LSP Update Request for a non-delegated LSP. 
        The PCEP-ERROR Object is followed by the LSP Object that identifies the 
        LSP. (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,"2: Attempted LSP Update Request if the stateful PCE 
        capability was not advertised. (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,"3: Attempted LSP Update Request for an LSP identified 
        by an unknown PLSP-ID. (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,4: Unassigned,[draft-ietf-pce-stateful-pce]
,,"5: Attempted LSP State Report if active 
        stateful PCE capability was not advertised. (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,"6: PCE-initiated LSP limit reached (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"7: Delegation for PCE-initiated LSP cannot be revoked (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"8: Non-zero PLSP-ID in LSP initiation request (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"9: LSP is not PCE-initiated (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"10: PCE-initiated operation-frequency limit reached (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,11-255: Unassigned,[draft-ietf-pce-stateful-pce]
20,"LSP State synchronization error (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",0: Unassigned,[draft-ietf-pce-stateful-pce]
,,"1: A PCE indicates to a PCC that it can
        not process (an otherwise valid) LSP
        State Report.  The PCEP-ERROR Object is
        followed by the LSP Object that
        identifies the LSP. (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,2-4: Unassigned,[draft-ietf-pce-stateful-pce]
,,"5: A PCC indicates to a PCE that it can
        not complete the state synchronization (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-stateful-pce]
,,6-255: Unassigned,[draft-ietf-pce-stateful-pce]
21,"Invalid traffic engineering path setup type (TEMPORARY - registered 2015-08-14, extension registered 2016-06-29, expires 2017-08-14)",0: Unassigned,[draft-ietf-pce-lsp-setup-type]
,,"1: Unsupported path setup type (TEMPORARY - registered 2015-08-14, extension registered 2016-06-29, expires 2017-08-14)",[draft-ietf-pce-lsp-setup-type]
,,"2: Mismatched path setup type (TEMPORARY - registered 2015-08-14, extension registered 2016-06-29, expires 2017-08-14)",[draft-ietf-pce-lsp-setup-type]
,,3-255: Unassigned,
22,Unassigned,0-255: Unassigned,
23,"Bad parameter value (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",0: Unassigned,[draft-ietf-pce-pce-initiated-lsp]
,,"1: SYMBOLIC-PATH-NAME in use (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"2: Speaker identity included for an LSP that is not PCE-initiated (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,3-255: Unassigned,[draft-ietf-pce-pce-initiated-lsp]
24,"LSP instantiation error (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",0: Unassigned,[draft-ietf-pce-pce-initiated-lsp]
,,"1: Unacceptable instantiation parameters (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"2: Internal error (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,"3: Signaling error (TEMPORARY - registered 2016-07-27, expires 2017-07-27)",[draft-ietf-pce-pce-initiated-lsp]
,,4-255: Unassigned,[draft-ietf-pce-pce-initiated-lsp]
25-255,Unassigned,0-255: Unassigned,
